# ANNOTATION_RELATION rows for the VALIDATED INHERITED cell type -> structure claims.
# NOT asserted by CL on the class: entailed from an is_a ancestor (VIA), then confirmed
# accurate AND restricted by claude-sonnet-5. A WEAKER claim than the asserted rows on
# prod -- give it its own SOURCE, do not merge it into 'CL'.
# Rows whose target is a whole-body anatomical system are excluded as tautologies.
# PREDICATE is the one the ANCESTOR actually asserts, looked up per row; NOT always 'part of'.
# script: scripts/validate_celltype_tissue_map.py  model: claude-sonnet-5
SUBJECT_VALUE	SUBJECT_VALUE_URI	PREDICATE	PREDICATE_URI	OBJECT_VALUE	OBJECT_VALUE_URI	VIA	N_DATASETS
pvalb chandelier GABAergic interneuron (Homo sapiens)	http://purl.obolibrary.org/obo/CL_4072046	has soma location	http://purl.obolibrary.org/obo/RO_0002100	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	cerebral cortex neuron	0
rearranging double negative thymocyte (Homo sapiens)	http://purl.obolibrary.org/obo/CL_0009083	part of	http://purl.obolibrary.org/obo/BFO_0000050	thymus	http://purl.obolibrary.org/obo/UBERON_0002370	thymocyte	0
reelin GABAergic cortical interneuron	http://purl.obolibrary.org/obo/CL_4032001	has soma location	http://purl.obolibrary.org/obo/RO_0002100	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	cerebral cortex neuron	0
regular cardiac myocyte	http://purl.obolibrary.org/obo/CL_0002098	part of	http://purl.obolibrary.org/obo/BFO_0000050	primary circulatory organ	http://purl.obolibrary.org/obo/UBERON_0007100	cardiocyte	0
renal alpha-intercalated cell	http://purl.obolibrary.org/obo/CL_0005011	part of	http://purl.obolibrary.org/obo/BFO_0000050	nephron	http://purl.obolibrary.org/obo/UBERON_0001285	epithelial cell of nephron	0
renal beta-intercalated cell	http://purl.obolibrary.org/obo/CL_0002201	part of	http://purl.obolibrary.org/obo/BFO_0000050	nephron	http://purl.obolibrary.org/obo/UBERON_0001285	epithelial cell of nephron	0
renal intercalated cell	http://purl.obolibrary.org/obo/CL_0005010	part of	http://purl.obolibrary.org/obo/BFO_0000050	nephron	http://purl.obolibrary.org/obo/UBERON_0001285	epithelial cell of nephron	0
respiratory tract goblet cell	http://purl.obolibrary.org/obo/CL_0002370	part of	http://purl.obolibrary.org/obo/BFO_0000050	respiratory tract epithelium	http://purl.obolibrary.org/obo/UBERON_0004802	respiratory tract epithelial cell	0
respiratory tract hillock cell	http://purl.obolibrary.org/obo/CL_4030023	part of	http://purl.obolibrary.org/obo/BFO_0000050	respiratory tract epithelium	http://purl.obolibrary.org/obo/UBERON_0004802	respiratory tract epithelial cell	0
respiratory tract multiciliated cell	http://purl.obolibrary.org/obo/CL_4030034	part of	http://purl.obolibrary.org/obo/BFO_0000050	respiratory tract epithelium	http://purl.obolibrary.org/obo/UBERON_0004802	respiratory tract epithelial cell	0
respiratory tract secretory epithelial cell	http://purl.obolibrary.org/obo/CL_0008055	part of	http://purl.obolibrary.org/obo/BFO_0000050	respiratory tract epithelium	http://purl.obolibrary.org/obo/UBERON_0004802	respiratory tract epithelial cell	0
respiratory tract suprabasal cell	http://purl.obolibrary.org/obo/CL_4033048	part of	http://purl.obolibrary.org/obo/BFO_0000050	respiratory tract epithelium	http://purl.obolibrary.org/obo/UBERON_0004802	respiratory tract epithelial cell	0
resting double-positive thymocyte	http://purl.obolibrary.org/obo/CL_0002427	part of	http://purl.obolibrary.org/obo/BFO_0000050	thymus	http://purl.obolibrary.org/obo/UBERON_0002370	thymocyte	0
retinal ganglion cell A1	http://purl.obolibrary.org/obo/CL_0004120	has soma location	http://purl.obolibrary.org/obo/RO_0002100	retina	http://purl.obolibrary.org/obo/UBERON_0000966	retinal ganglion cell	0
retinal ganglion cell A2	http://purl.obolibrary.org/obo/CL_0004138	has soma location	http://purl.obolibrary.org/obo/RO_0002100	retina	http://purl.obolibrary.org/obo/UBERON_0000966	retinal ganglion cell	0
retinal ganglion cell A2 inner	http://purl.obolibrary.org/obo/CL_0004137	has soma location	http://purl.obolibrary.org/obo/RO_0002100	retina	http://purl.obolibrary.org/obo/UBERON_0000966	retinal ganglion cell	0
retinal ganglion cell A2 outer	http://purl.obolibrary.org/obo/CL_0004139	has soma location	http://purl.obolibrary.org/obo/RO_0002100	retina	http://purl.obolibrary.org/obo/UBERON_0000966	retinal ganglion cell	0
retinal ganglion cell B	http://purl.obolibrary.org/obo/CL_0004115	has soma location	http://purl.obolibrary.org/obo/RO_0002100	retina	http://purl.obolibrary.org/obo/UBERON_0000966	retinal ganglion cell	0
retinal ganglion cell B1	http://purl.obolibrary.org/obo/CL_0004119	has soma location	http://purl.obolibrary.org/obo/RO_0002100	retina	http://purl.obolibrary.org/obo/UBERON_0000966	retinal ganglion cell	0
retinal ganglion cell B2	http://purl.obolibrary.org/obo/CL_0004121	has soma location	http://purl.obolibrary.org/obo/RO_0002100	retina	http://purl.obolibrary.org/obo/UBERON_0000966	retinal ganglion cell	0
retinal ganglion cell B3	http://purl.obolibrary.org/obo/CL_0004183	has soma location	http://purl.obolibrary.org/obo/RO_0002100	retina	http://purl.obolibrary.org/obo/UBERON_0000966	retinal ganglion cell	0
retinal ganglion cell B3 inner	http://purl.obolibrary.org/obo/CL_0003018	has soma location	http://purl.obolibrary.org/obo/RO_0002100	retina	http://purl.obolibrary.org/obo/UBERON_0000966	retinal ganglion cell	0
retinal ganglion cell B3 outer	http://purl.obolibrary.org/obo/CL_0003017	has soma location	http://purl.obolibrary.org/obo/RO_0002100	retina	http://purl.obolibrary.org/obo/UBERON_0000966	retinal ganglion cell	0
retinal ganglion cell C	http://purl.obolibrary.org/obo/CL_0004116	has soma location	http://purl.obolibrary.org/obo/RO_0002100	retina	http://purl.obolibrary.org/obo/UBERON_0000966	retinal ganglion cell	0
retinal ganglion cell C inner	http://purl.obolibrary.org/obo/CL_0003024	has soma location	http://purl.obolibrary.org/obo/RO_0002100	retina	http://purl.obolibrary.org/obo/UBERON_0000966	retinal ganglion cell	0
retinal ganglion cell C outer	http://purl.obolibrary.org/obo/CL_0003020	has soma location	http://purl.obolibrary.org/obo/RO_0002100	retina	http://purl.obolibrary.org/obo/UBERON_0000966	retinal ganglion cell	0
retinal ganglion cell C1	http://purl.obolibrary.org/obo/CL_0004124	has soma location	http://purl.obolibrary.org/obo/RO_0002100	retina	http://purl.obolibrary.org/obo/UBERON_0000966	retinal ganglion cell	0
retinal ganglion cell C2 inner	http://purl.obolibrary.org/obo/CL_0004125	has soma location	http://purl.obolibrary.org/obo/RO_0002100	retina	http://purl.obolibrary.org/obo/UBERON_0000966	retinal ganglion cell	0
retinal ganglion cell C2 outer	http://purl.obolibrary.org/obo/CL_0004126	has soma location	http://purl.obolibrary.org/obo/RO_0002100	retina	http://purl.obolibrary.org/obo/UBERON_0000966	retinal ganglion cell	0
retinal ganglion cell C3	http://purl.obolibrary.org/obo/CL_0003025	has soma location	http://purl.obolibrary.org/obo/RO_0002100	retina	http://purl.obolibrary.org/obo/UBERON_0000966	retinal ganglion cell	0
retinal ganglion cell C4	http://purl.obolibrary.org/obo/CL_0003021	has soma location	http://purl.obolibrary.org/obo/RO_0002100	retina	http://purl.obolibrary.org/obo/UBERON_0000966	retinal ganglion cell	0
retinal ganglion cell C5	http://purl.obolibrary.org/obo/CL_0003022	has soma location	http://purl.obolibrary.org/obo/RO_0002100	retina	http://purl.obolibrary.org/obo/UBERON_0000966	retinal ganglion cell	0
retinal ganglion cell C6	http://purl.obolibrary.org/obo/CL_0003023	has soma location	http://purl.obolibrary.org/obo/RO_0002100	retina	http://purl.obolibrary.org/obo/UBERON_0000966	retinal ganglion cell	0
rostral primary motorneuron	http://purl.obolibrary.org/obo/CL_4042038	has soma location	http://purl.obolibrary.org/obo/RO_0002100	spinal cord	http://purl.obolibrary.org/obo/UBERON_0002240	spinal cord motor neuron	0
sebocyte	http://purl.obolibrary.org/obo/CL_0000317	part of	http://purl.obolibrary.org/obo/BFO_0000050	sebaceous gland	http://purl.obolibrary.org/obo/UBERON_0001821	sebaceous gland cell	0
secondary motor neuron (sensu Teleostei)	http://purl.obolibrary.org/obo/CL_0000536	has soma location	http://purl.obolibrary.org/obo/RO_0002100	spinal cord	http://purl.obolibrary.org/obo/UBERON_0002240	spinal cord motor neuron	0
skeletal muscle fiber	http://purl.obolibrary.org/obo/CL_0008002	part of	http://purl.obolibrary.org/obo/BFO_0000050	skeletal muscle tissue	http://purl.obolibrary.org/obo/UBERON_0001134	cell of skeletal muscle	0
small basket cell	http://purl.obolibrary.org/obo/CL_4023090	has soma location	http://purl.obolibrary.org/obo/RO_0002100	neocortex	http://purl.obolibrary.org/obo/UBERON_0001950	neocortex basket cell	0
small intestine BEST4+ enterocyte	http://purl.obolibrary.org/obo/CL_4047051	part of	http://purl.obolibrary.org/obo/BFO_0000050	epithelium of small intestine	http://purl.obolibrary.org/obo/UBERON_0001902	enterocyte of epithelium of small intestine	0
small intestine goblet cell	http://purl.obolibrary.org/obo/CL_1000495	part of	http://purl.obolibrary.org/obo/BFO_0000050	epithelium of small intestine	http://purl.obolibrary.org/obo/UBERON_0001902	small intestine secretory cell	0
small luteal cell	http://purl.obolibrary.org/obo/CL_0000590	part of	http://purl.obolibrary.org/obo/BFO_0000050	corpus luteum	http://purl.obolibrary.org/obo/UBERON_0002512	luteal cell	0
sncg GABAergic interneuron (Homo sapiens)	http://purl.obolibrary.org/obo/CL_4072035	has soma location	http://purl.obolibrary.org/obo/RO_0002100	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	cerebral cortex neuron	0
somatotroph	http://purl.obolibrary.org/obo/CL_0002312	part of	http://purl.obolibrary.org/obo/BFO_0000050	pars distalis of adenohypophysis	http://purl.obolibrary.org/obo/UBERON_0006964	acidophil cell of pars distalis of adenohypophysis	0
specified double negative thymocyte (Homo sapiens)	http://purl.obolibrary.org/obo/CL_0009081	part of	http://purl.obolibrary.org/obo/BFO_0000050	thymus	http://purl.obolibrary.org/obo/UBERON_0002370	thymocyte	0
spherical bushy cell	http://purl.obolibrary.org/obo/CL_4023163	has soma location	http://purl.obolibrary.org/obo/RO_0002100	anteroventral cochlear nucleus	http://purl.obolibrary.org/obo/UBERON_0002830	bushy cell	0
spinal interneuron synapsing Betz cell	http://purl.obolibrary.org/obo/CL_4023053	has soma location	http://purl.obolibrary.org/obo/RO_0002100	primary motor cortex layer 5	http://purl.obolibrary.org/obo/UBERON_0022315	Betz cell	0
sst GABAergic interneuron (Homo sapiens)	http://purl.obolibrary.org/obo/CL_4072027	has soma location	http://purl.obolibrary.org/obo/RO_0002100	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	cerebral cortex neuron	0
sst GABAergic neuron of the striatum	http://purl.obolibrary.org/obo/CL_4042037	has soma location	http://purl.obolibrary.org/obo/RO_0002100	striatum	http://purl.obolibrary.org/obo/UBERON_0002435	striatum neuron	0
striatal PTHLH MOXD1 expressing interneuron	http://purl.obolibrary.org/obo/CL_4042024	has soma location	http://purl.obolibrary.org/obo/RO_0002100	striatum	http://purl.obolibrary.org/obo/UBERON_0002435	striatum neuron	0
striatal cholinergic-GABAergic neuron	http://purl.obolibrary.org/obo/CL_0020008	has soma location	http://purl.obolibrary.org/obo/RO_0002100	striatum	http://purl.obolibrary.org/obo/UBERON_0002435	striatum neuron	0
striatal pthlh-expressing interneuron	http://purl.obolibrary.org/obo/CL_4042023	has soma location	http://purl.obolibrary.org/obo/RO_0002100	striatum	http://purl.obolibrary.org/obo/UBERON_0002435	striatum neuron	0
striated visceral muscle cell	http://purl.obolibrary.org/obo/CL_0008008	part of	http://purl.obolibrary.org/obo/BFO_0000050	visceral muscle tissue	http://purl.obolibrary.org/obo/UBERON_8600004	visceral muscle cell	0
subpial interlaminar astrocyte	http://purl.obolibrary.org/obo/CL_4042011	part of	http://purl.obolibrary.org/obo/BFO_0000050	neocortex	http://purl.obolibrary.org/obo/UBERON_0001950	interlaminar astrocyte	0
superficial zone articular chondrocyte	http://purl.obolibrary.org/obo/CL_0020037	part of	http://purl.obolibrary.org/obo/BFO_0000050	articular cartilage of joint	http://purl.obolibrary.org/obo/UBERON_0010996	articular chondrocyte	0
tracheobronchial goblet cell	http://purl.obolibrary.org/obo/CL_0019003	part of	http://purl.obolibrary.org/obo/BFO_0000050	tracheobronchial epithelium	http://purl.obolibrary.org/obo/UBERON_0008397	epithelial cell of tracheobronchial tree	0
transitional myocyte	http://purl.obolibrary.org/obo/CL_0002073	part of	http://purl.obolibrary.org/obo/BFO_0000050	primary circulatory organ	http://purl.obolibrary.org/obo/UBERON_0007100	cardiocyte	0
transitional myocyte of atrial branch of anterior internodal tract	http://purl.obolibrary.org/obo/CL_1000363	part of	http://purl.obolibrary.org/obo/BFO_0000050	internodal tract	http://purl.obolibrary.org/obo/UBERON_0009966	internodal tract myocyte	0
transitional myocyte of atrial part of atrioventricular bundle	http://purl.obolibrary.org/obo/CL_1000372	part of	http://purl.obolibrary.org/obo/BFO_0000050	bundle of His	http://purl.obolibrary.org/obo/UBERON_0002353	atrioventricular bundle cell	0
transitional myocyte of atrial septal branch of anterior internodal tract	http://purl.obolibrary.org/obo/CL_1000365	part of	http://purl.obolibrary.org/obo/BFO_0000050	internodal tract	http://purl.obolibrary.org/obo/UBERON_0009966	internodal tract myocyte	0
transitional myocyte of atrioventricular bundle	http://purl.obolibrary.org/obo/CL_1000481	part of	http://purl.obolibrary.org/obo/BFO_0000050	bundle of His	http://purl.obolibrary.org/obo/UBERON_0002353	atrioventricular bundle cell	0
transitional myocyte of internodal tract	http://purl.obolibrary.org/obo/CL_1000480	part of	http://purl.obolibrary.org/obo/BFO_0000050	internodal tract	http://purl.obolibrary.org/obo/UBERON_0009966	internodal tract myocyte	0
transitional myocyte of sinoatrial node	http://purl.obolibrary.org/obo/CL_1000478	part of	http://purl.obolibrary.org/obo/BFO_0000050	sinoatrial node	http://purl.obolibrary.org/obo/UBERON_0002351	myocyte of sinoatrial node	0
transitional myocyte of ventricular part of atrioventricular bundle	http://purl.obolibrary.org/obo/CL_1000373	part of	http://purl.obolibrary.org/obo/BFO_0000050	bundle of His	http://purl.obolibrary.org/obo/UBERON_0002353	atrioventricular bundle cell	0
transversely striated visceral muscle cell	http://purl.obolibrary.org/obo/CL_0008009	part of	http://purl.obolibrary.org/obo/BFO_0000050	visceral muscle tissue	http://purl.obolibrary.org/obo/UBERON_8600004	visceral muscle cell	0
tuft cell of large intestine	http://purl.obolibrary.org/obo/CL_0002203	part of	http://purl.obolibrary.org/obo/BFO_0000050	epithelium of large intestine	http://purl.obolibrary.org/obo/UBERON_0001278	epithelial cell of large intestine	0
tuft cell of olfactory epithelium	http://purl.obolibrary.org/obo/CL_4052037	part of	http://purl.obolibrary.org/obo/BFO_0000050	olfactory epithelium	http://purl.obolibrary.org/obo/UBERON_0001997	olfactory epithelial cell	0
tuft cell of stomach	http://purl.obolibrary.org/obo/CL_4052040	part of	http://purl.obolibrary.org/obo/BFO_0000050	epithelium of stomach	http://purl.obolibrary.org/obo/UBERON_0001276	epithelial cell of stomach	0
type 2 cone bipolar cell (sensu Mus)	http://purl.obolibrary.org/obo/CL_0000754	has soma location	http://purl.obolibrary.org/obo/RO_0002100	inner nuclear layer of retina	http://purl.obolibrary.org/obo/UBERON_0001791	retinal bipolar neuron	0
type 3a cone bipolar cell	http://purl.obolibrary.org/obo/CL_0004213	has soma location	http://purl.obolibrary.org/obo/RO_0002100	inner nuclear layer of retina	http://purl.obolibrary.org/obo/UBERON_0001791	retinal bipolar neuron	0
type 3b cone bipolar cell	http://purl.obolibrary.org/obo/CL_0004214	has soma location	http://purl.obolibrary.org/obo/RO_0002100	inner nuclear layer of retina	http://purl.obolibrary.org/obo/UBERON_0001791	retinal bipolar neuron	0
type 5a cone bipolar cell	http://purl.obolibrary.org/obo/CL_0004215	has soma location	http://purl.obolibrary.org/obo/RO_0002100	inner nuclear layer of retina	http://purl.obolibrary.org/obo/UBERON_0001791	retinal bipolar neuron	0
type 5b cone bipolar cell	http://purl.obolibrary.org/obo/CL_0004216	has soma location	http://purl.obolibrary.org/obo/RO_0002100	inner nuclear layer of retina	http://purl.obolibrary.org/obo/UBERON_0001791	retinal bipolar neuron	0
type 7 cone bipolar cell (sensu Mus)	http://purl.obolibrary.org/obo/CL_0000759	has soma location	http://purl.obolibrary.org/obo/RO_0002100	inner nuclear layer of retina	http://purl.obolibrary.org/obo/UBERON_0001791	retinal bipolar neuron	0
type 8 cone bipolar cell (sensu Mus)	http://purl.obolibrary.org/obo/CL_0000760	has soma location	http://purl.obolibrary.org/obo/RO_0002100	inner nuclear layer of retina	http://purl.obolibrary.org/obo/UBERON_0001791	retinal bipolar neuron	0
type I muscle cell	http://purl.obolibrary.org/obo/CL_0002211	part of	http://purl.obolibrary.org/obo/BFO_0000050	skeletal muscle tissue	http://purl.obolibrary.org/obo/UBERON_0001134	cell of skeletal muscle	0
type II muscle cell	http://purl.obolibrary.org/obo/CL_0002212	part of	http://purl.obolibrary.org/obo/BFO_0000050	skeletal muscle tissue	http://purl.obolibrary.org/obo/UBERON_0001134	cell of skeletal muscle	0
type IIa muscle cell	http://purl.obolibrary.org/obo/CL_0002214	part of	http://purl.obolibrary.org/obo/BFO_0000050	skeletal muscle tissue	http://purl.obolibrary.org/obo/UBERON_0001134	cell of skeletal muscle	0
type IIb muscle cell	http://purl.obolibrary.org/obo/CL_0002215	part of	http://purl.obolibrary.org/obo/BFO_0000050	skeletal muscle tissue	http://purl.obolibrary.org/obo/UBERON_0001134	cell of skeletal muscle	0
type IIx muscle cell	http://purl.obolibrary.org/obo/CL_4052026	part of	http://purl.obolibrary.org/obo/BFO_0000050	skeletal muscle tissue	http://purl.obolibrary.org/obo/UBERON_0001134	cell of skeletal muscle	0
umbrella cell of urothelium	http://purl.obolibrary.org/obo/CL_4030056	part of	http://purl.obolibrary.org/obo/BFO_0000050	urothelium	http://purl.obolibrary.org/obo/UBERON_0000365	urothelial cell	0
uterine cervix secretory cell	http://purl.obolibrary.org/obo/CL_1001587	part of	http://purl.obolibrary.org/obo/BFO_0000050	cervix epithelium	http://purl.obolibrary.org/obo/UBERON_0004801	epithelial cell of cervix	0
uterine cervix squamous cell	http://purl.obolibrary.org/obo/CL_1001575	part of	http://purl.obolibrary.org/obo/BFO_0000050	cervix epithelium	http://purl.obolibrary.org/obo/UBERON_0004801	epithelial cell of cervix	0
valve endothelial cell	http://purl.obolibrary.org/obo/CL_4030033	part of	http://purl.obolibrary.org/obo/BFO_0000050	cardiac valve	http://purl.obolibrary.org/obo/UBERON_0000946	cardiac valve cell	0
